sentence_id,words,labels
0,5,B-QUANTITY
0,ounces,B-UNIT
0,rum,B-FOOD
0,4,B-QUANTITY
0,ounces,B-UNIT
0,triple,B-FOOD
0,sec,I-FOOD
0,3,B-QUANTITY
0,ounces,B-UNIT
0,Tia,B-TRADE_NAME
0,Maria,I-TRADE_NAME
0,20,B-QUANTITY
0,ounces,B-UNIT
0,orange,B-FOOD
0,juice,I-FOOD
1,2,B-QUANTITY
1,tubes,B-UNIT
1,cinnamon,B-FOOD
1,roll,I-FOOD
1,",",O
1,refrigerated,B-PROCESS
1,",",O
1,with,B-FOOD
1,icing,B-FOOD
1,4,B-QUANTITY
1,tablespoons,B-UNIT
1,butter,B-FOOD
1,",",O
1,melted,B-PROCESS
1,6,B-QUANTITY
1,eggs,B-FOOD
1,½,B-QUANTITY
1,cup,B-UNIT
1,milk,B-FOOD
1,2,B-QUANTITY
1,teaspoons,B-UNIT
1,cinnamon,B-FOOD
1,2,B-QUANTITY
1,teaspoons,B-UNIT
1,vanilla,B-FOOD
1,1,B-QUANTITY
1,cup,B-UNIT
1,maple,B-FOOD
1,syrup,I-FOOD
2,4,B-QUANTITY
2,ripe,B-PHYSICAL_QUALITY
2,coconuts,B-FOOD
2,1,B-QUANTITY
2,cup,B-UNIT
2,evaporated,B-FOOD
2,milk,I-FOOD
2,1,B-QUANTITY
2,cup,B-UNIT
2,gin,B-FOOD
2,3,B-QUANTITY
2,tablespoons,B-UNIT
2,sugar,B-FOOD
2,(,O
2,optional,O
2,),O
2,1,B-QUANTITY
2,teaspoon,B-UNIT
2,ground,B-PROCESS
2,cinnamon,B-FOOD
2,1⁄2,B-QUANTITY
2,teaspoon,B-UNIT
2,freshly,B-PROCESS
2,grated,I-PROCESS
2,nutmeg,B-FOOD
3,1,B-QUANTITY
3,sheet,B-UNIT
3,graham,B-FOOD
3,cracker,I-FOOD
3,(,O
3,broken,B-PROCESS
3,in,I-PROCESS
3,half,I-PROCESS
3,),O
3,2,B-QUANTITY
3,pieces,B-UNIT
3,milk,B-FOOD
3,chocolate,I-FOOD
3,candy,I-FOOD
3,bars,I-FOOD
3,1,B-QUANTITY
3,marshmallows,B-FOOD
3,6,B-QUANTITY
3,-8,I-QUANTITY
3,fresh,B-PHYSICAL_QUALITY
3,blueberries,B-FOOD
3,2,B-QUANTITY
3,thick,B-PHYSICAL_QUALITY
3,strawberry,B-FOOD
3,slices,I-FOOD
4,1,B-QUANTITY
4,(,O
4,8,B-QUANTITY
4,ounce,B-UNIT
4,),O
4,package,B-UNIT
4,crescent,B-FOOD
4,rolls,I-FOOD
4,8,B-QUANTITY
4,slices,B-UNIT
4,deli,B-FOOD
4,ham,I-FOOD
4,4,B-QUANTITY
4,teaspoons,B-UNIT
4,prepared,B-PROCESS
4,mustard,B-FOOD
4,1,B-QUANTITY
4,cup,B-UNIT
4,shredded,B-PROCESS
4,swiss,B-FOOD
4,cheese,I-FOOD
4,or,O
4,1,B-QUANTITY
4,cup,B-UNIT
4,cheddar,B-FOOD
4,cheese,I-FOOD
4,2,B-QUANTITY
4,tablespoons,B-UNIT
4,sesame,B-FOOD
4,seeds,I-FOOD
4,(,O
4,optional,O
4,),O
5,10,O
5,bone,O
5,in,O
5,chicken,O
5,thighs,O
5,(,O
5,2-3/4,O
5,lb.,O
5,",",O
5,skins,O
5,removed,O
5,),O
5,16,O
5,ounces,O
5,TACO,O
5,BELL®,O
5,Thick,O
5,&,O
5,Chunky,O
5,Salsa,O
5,1,O
5,onion,O
5,(,O
5,chopped,O
5,Save-A-Lot,O
5,—,O
5,$,O
5,0.99,O
5,thru,O
5,01/23,O
5,),O
5,2,O
5,tablespoons,O
5,curry,O
5,powder,O
5,1,O
5,cup,O
5,Knudsen,O
5,Light,O
5,Sour,O
5,Cream,O
5,(,O
5,or,O
5,BREAKSTONE,O
5,'S,O
5,Reduced,O
5,Fat,O
5,),O
6,2,B-QUANTITY
6,medium,B-PHYSICAL_QUALITY
6,baking,B-FOOD
6,potatoes,I-FOOD
6,(,O
6,6,B-QUANTITY
6,-,I-QUANTITY
6,8,I-QUANTITY
6,oz,B-UNIT
6,.,I-UNIT
6,each,O
6,),O
6,2,B-QUANTITY
6,tablespoons,B-UNIT
6,of,O
6,melted,B-PROCESS
6,butter,B-FOOD
6,1⁄4,B-QUANTITY
6,teaspoon,B-UNIT
6,garlic,B-FOOD
6,salt,I-FOOD
6,or,O
6,1/4,B-QUANTITY
6,teaspoon,B-UNIT
6,seasoning,B-FOOD
6,salt,I-FOOD
6,1⁄8,B-QUANTITY
6,teaspoon,B-UNIT
6,pepper,B-FOOD
6,sour,B-FOOD
6,cream,I-FOOD
6,",",O
6,as,B-PURPOSE
6,topping,I-PURPOSE
6,(,O
6,optional,O
6,),O
6,chives,B-FOOD
6,",",O
6,as,B-PURPOSE
6,topping,I-PURPOSE
6,(,O
6,optional,O
6,),O
7,carrots,B-FOOD
7,canning,B-FOOD
7,salt,I-FOOD
7,(,O
7,optional,O
7,),O
7,carrots,B-FOOD
7,(,O
7,Sweet,B-TASTE
7,),O
7,brown,B-COLOR
7,sugar,B-FOOD
7,2,B-QUANTITY
7,cups,B-UNIT
7,brown,B-COLOR
7,sugar,B-FOOD
7,2,B-QUANTITY
7,cups,B-UNIT
7,water,B-FOOD
7,1,B-QUANTITY
7,cup,B-UNIT
7,orange,B-FOOD
7,juice,I-FOOD
8,1,B-QUANTITY
8,cup,B-UNIT
8,chocolate,B-FOOD
8,chips,I-FOOD
8,1,B-QUANTITY
8,cup,B-UNIT
8,heavy,B-FOOD
8,cream,I-FOOD
8,1,B-QUANTITY
8,egg,B-FOOD
8,whipped,B-FOOD
8,cream,I-FOOD
8,1,B-QUANTITY
8,teaspoon,B-UNIT
8,vanilla,B-FOOD
8,extract,I-FOOD
9,1,B-QUANTITY
9,lime,B-FOOD
9,",",O
9,cut,B-PROCESS
9,in,I-PROCESS
9,wedges,I-PROCESS
9,(,O
9,optional,O
9,),O
9,kosher,B-FOOD
9,salt,I-FOOD
9,(,O
9,optional,O
9,),O
9,1,B-QUANTITY
9,cup,B-UNIT
9,ruby,B-COLOR
9,red,I-COLOR
9,grapefruit,B-FOOD
9,juice,I-FOOD
9,1⁄2,B-QUANTITY
9,cup,B-UNIT
9,freshly,B-PROCESS
9,squeezed,I-PROCESS
9,lime,B-FOOD
9,juice,I-FOOD
9,(,O
9,4,B-QUANTITY
9,limes,B-FOOD
9,),O
9,1,B-QUANTITY
9,cup,B-UNIT
9,orange,B-FOOD
9,liqueur,I-FOOD
9,",",O
9,such,O
9,a,O
9,Triple,B-EXAMPLE
9,Sec,I-EXAMPLE
9,2,B-QUANTITY
9,cups,B-UNIT
9,ice,B-FOOD
9,1,B-QUANTITY
9,cup,B-UNIT
9,white,B-COLOR
9,tequila,B-FOOD
10,3,B-QUANTITY
10,avocados,B-FOOD
10,(,O
10,ripe,B-PHYSICAL_QUALITY
10,",",O
10,I,O
10,live,O
10,in,O
10,California,O
10,now,O
10,so,O
10,I,O
10,use,O
10,Hass,B-EXAMPLE
10,",",O
10,I,O
10,actually,O
10,prefer,O
10,them,O
10,to,O
10,the,O
10,larger,O
10,",",O
10,fruitier,O
10,avocados,O
10,in,O
10,South,O
10,Florida,O
10,),O
10,1,B-QUANTITY
10,1/2,I-QUANTITY
10,cups,B-UNIT
10,fresh,B-PHYSICAL_QUALITY
10,tomatoes,B-FOOD
10,(,O
10,cut,B-PROCESS
10,into,I-PROCESS
10,bite-sized,I-PROCESS
10,chunks,I-PROCESS
10,),O
10,1,B-QUANTITY
10,red,B-COLOR
10,onion,B-FOOD
10,(,O
10,sliced,B-PROCESS
10,),O
10,3,B-QUANTITY
10,tablespoons,B-UNIT
10,white,B-COLOR
10,vinegar,B-FOOD
10,2,B-QUANTITY
10,tablespoons,B-UNIT
10,extra-virgin,B-PHYSICAL_QUALITY
10,olive,B-FOOD
10,oil,I-FOOD
10,salt,B-FOOD
10,pepper,B-FOOD
11,1,B-QUANTITY
11,ounce,B-UNIT
11,Kahlua,B-FOOD
11,1⁄2,B-QUANTITY
11,ounce,B-UNIT
11,tequila,B-FOOD
11,6,B-QUANTITY
11,ounces,B-UNIT
11,hot,B-PHYSICAL_QUALITY
11,coffee,B-FOOD
11,whipped,B-FOOD
11,cream,I-FOOD
12,5,B-QUANTITY
12,eggs,B-FOOD
12,150,B-QUANTITY
12,grams,B-UNIT
12,sugar,B-FOOD
12,(,O
12,/,O
12,",",O
12,5,B-QUANTITY
12,1/3,I-QUANTITY
12,ounces,B-UNIT
12,),O
12,100,B-QUANTITY
12,grams,B-UNIT
12,all,B-FOOD
12,purpose,I-FOOD
12,flour,I-FOOD
12,(,O
12,/,O
12,",",O
